Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,DEFAULT
5300,36,0.2346,33200.0,697,Debt Consolidation,RENT,FL,Office,2020,3,0
17000,60,0.0952,75000.0,727,Debt Consolidation,RENT,NY,Food/Hospitality,2019,20,0
1200,36,0.1461,62000.0,697,Other Major Purchase,MORTGAGE,CT,Office,2020,3,0
40000,60,36.33,90000.0,715,debt_consolidation,rent,SC,IT/Engineering,2018,2 years,0
23100,36,0.13699999999999998,73500.0,717,Debt Consolidation,RENT,TX,Others,2018,0,0
6000,36,0.264,39000.0,712,Credit Card Refinancing,RENT,NY,,2020,2 years,0
5000,36,0.1536,40000.0,692,Credit Card Refinancing,OWN,MD,Office,2018,7,0
22000,36,23.27,36000.0,705,credit_card,rent,CA,,2019,< 1 year,1
5000,36,0.0793,72000.0,682,Other,MORTGAGE,VA,Office,2018,10,0
30000,36,0.3689,105000.0,687,Credit Card Refinancing,RENT,NC,IT/Engineering,2020,4,0
8500,36,0.08,33000.0,687,Credit Card Refinancing,MORTGAGE,SC,Office,2018,0,0
12000,36,0.0643,50000.0,712,Credit Card Refinancing,MORTGAGE,FL,Food/Hospitality,2019,20,0
11875,36,0.0971,55000.0,717,Home Improvement,MORTGAGE,NJ,IT/Engineering,2020,7,0
6800,36,0.1722,37488.0,707,Debt Consolidation,MORTGAGE,IL,Skilled Labor,2018,4,0
22000,36,0.2397,450000.0,672,Debt Consolidation,MORTGAGE,TX,Small Business,2019,12,0
20000,36,0.245,125000.0,707,Credit Card Refinancing,OWN,MI,Others,2018,10,0
6000,36,17.71,45600.0,675,debt_consolidation,mortgage,MS,,2019,,0
21000,60,0.3355,68000.0,692,Debt Consolidation,MORTGAGE,FL,Office,2018,6,0
40000,60,0.128,131000.0,707,Debt Consolidation,OWN,NC,,2019,,0
31900,60,11.45,90000.0,770,debt_consolidation,rent,CA,,2020,< 1 year,0
8500,36,0.2423,110000.0,682,Debt Consolidation,RENT,IN,Others,2019,3,0
17000,60,0.1401,70000.0,662,Debt Consolidation,RENT,CA,Others,2019,11,0
30000,60,0.1702,67000.0,672,Debt Consolidation,MORTGAGE,IL,Food/Hospitality,2019,10,1
1500,36,0.1638,68000.0,667,Home Improvement,MORTGAGE,NY,Office,2019,1,0
3625,36,0.2329,16800.0,682,Debt Consolidation,OWN,MT,Health care,2019,2,0
35000,60,0.25,128500.0,692,Debt Consolidation,RENT,IL,IT/Engineering,2019,16,0
10000,60,0.1027,142000.0,732,Other Major Purchase,RENT,CA,Education,2019,2,0
16000,60,0.2203,95000.0,667,Debt Consolidation,OWN,TN,Driver/Transportation,2019,9,0
10000,60,0.3973,50000.0,672,Debt Consolidation,RENT,WA,Food/Hospitality,2019,1,0
8000,36,0.1076,26000.0,662,Debt Consolidation,RENT,AZ,Food/Hospitality,2019,1,0
18000,60,0.3835,54816.0,762,Debt Consolidation,RENT,PA,Office,2019,2,1
30000,36,0.09,115000.0,707,Debt Consolidation,MORTGAGE,FL,Others,2019,25,0
20000,36,15.7,50000.0,665,debt_consolidation,mortgage,WA,Office,2019,2 years,0
15000,60,0.3387,32000.0,727,Debt Consolidation,RENT,CA,Food/Hospitality,2019,1,0
14000,60,0.10800000000000001,30000.0,672,Debt Consolidation,RENT,GA,Skilled Labor,2019,2,1
6400,36,0.2743,34000.0,667,Debt Consolidation,RENT,FL,Office,2019,1,0
2100,36,0.3446,52000.0,717,Credit Card Refinancing,MORTGAGE,PA,Health care,2019,9,0
10000,60,0.1747,65000.0,662,Debt Consolidation,RENT,GA,Others,2019,5,1
4000,36,0.1627,26700.0,712,Credit Card Refinancing,RENT,AZ,Food/Hospitality,2018,4,0
10625,60,0.2559,40000.0,727,Debt Consolidation,RENT,OR,Skilled Labor,2019,23,0
24000,60,0.205,84000.0,672,Credit Card Refinancing,MORTGAGE,CA,Others,2019,11,0
15000,36,0.2327,114000.0,682,Debt Consolidation,MORTGAGE,NJ,Sales,2020,3,0
32000,60,31.86,108000.0,670,credit_card,mortgage,CA,Office,2018,6 years,0
20000,60,6.41,260000.0,660,debt_consolidation,mortgage,VA,,2018,< 1 year,1
35000,36,0.2579,85000.0,742,Credit Card Refinancing,MORTGAGE,PA,Others,2019,1,0
21700,60,0.3428,50000.0,707,Debt Consolidation,MORTGAGE,KY,Others,2019,0,1
