iter	Passed	Remaining
0	96	13681
1	115	8139
2	122	5704
3	134	4680
4	162	4483
5	184	4212
6	200	3901
7	219	3702
8	242	3617
9	247	3291
10	261	3134
11	278	3035
12	289	2890
13	294	2714
14	301	2569
15	312	2477
16	319	2368
17	334	2326
18	347	2266
19	353	2175
20	365	2121
21	371	2040
22	384	2004
23	393	1949
24	426	2011
25	459	2067
26	502	2157
27	515	2118
28	521	2051
29	535	2018
30	548	1982
31	560	1943
32	569	1898
33	579	1856
34	587	1814
35	598	1777
36	608	1741
37	616	1702
38	630	1680
39	640	1649
40	651	1620
41	655	1577
42	671	1561
43	679	1529
44	688	1500
45	698	1473
46	710	1451
47	720	1425
48	731	1403
49	742	1380
50	758	1367
51	771	1350
52	780	1324
53	791	1305
54	806	1290
55	820	1274
56	829	1251
57	838	1228
58	842	1200
59	852	1179
60	862	1159
61	870	1137
62	878	1115
63	895	1105
64	908	1090
65	917	1070
66	932	1058
67	945	1043
68	954	1023
69	963	1005
70	972	985
71	984	971
72	994	953
73	1012	944
74	1018	923
75	1037	914
76	1048	898
77	1060	883
78	1069	866
79	1084	853
80	1094	838
81	1099	817
82	1111	803
83	1119	786
84	1134	774
85	1146	759
86	1152	741
87	1157	723
88	1164	706
89	1174	691
90	1183	676
91	1197	664
92	1207	649
93	1212	632
94	1224	618
95	1234	604
96	1244	590
97	1251	574
98	1262	561
99	1275	548
100	1283	533
101	1297	521
102	1307	507
103	1317	494
104	1326	480
105	1339	467
106	1352	454
107	1365	442
108	1374	428
109	1383	415
110	1395	402
111	1406	389
112	1418	376
113	1432	364
114	1441	351
115	1462	340
116	1471	327
117	1484	314
118	1493	301
119	1507	288
120	1520	276
121	1533	263
122	1547	251
123	1561	239
124	1573	226
125	1580	213
126	1584	199
127	1588	186
128	1598	173
129	1600	160
130	1612	147
131	1636	136
132	1642	123
133	1656	111
134	1661	98
135	1675	86
136	1686	73
137	1703	61
138	1709	49
139	1716	36
140	1725	24
141	1735	12
142	1739	0
